INPUT_0_DATATYPE,INPUT_0_MEMORY,OUTPUT_0_MEMORY,NUM_TILES,AVG_DEVICE_KERNEL_DURATION [ns]
BFLOAT4_B,DRAM_INTERLEAVED,DRAM_INTERLEAVED,1000,10283.2
BFLOAT4_B,DRAM_INTERLEAVED,DRAM_INTERLEAVED,2000,17984.9
BFLOAT4_B,DRAM_INTERLEAVED,DRAM_INTERLEAVED,5000,42328.0
BFLOAT4_B,DRAM_INTERLEAVED,DRAM_INTERLEAVED,8000,65089.6
BFLOAT4_B,DRAM_INTERLEAVED,DRAM_INTERLEAVED,10000,84592.4
BFLOAT4_B,DRAM_INTERLEAVED,DRAM_INTERLEAVED,12500,103057.4
BFLOAT8_B,DRAM_INTERLEAVED,DRAM_INTERLEAVED,1,1865.3
BFLOAT8_B,DRAM_INTERLEAVED,DRAM_INTERLEAVED,10,2105.4
BFLOAT8_B,DRAM_INTERLEAVED,DRAM_INTERLEAVED,100,3043.3
BFLOAT8_B,DRAM_INTERLEAVED,DRAM_INTERLEAVED,1000,13488.7
BFLOAT8_B,DRAM_INTERLEAVED,DRAM_INTERLEAVED,2000,24182.0
BFLOAT8_B,DRAM_INTERLEAVED,DRAM_INTERLEAVED,5000,58465.5
BFLOAT8_B,DRAM_INTERLEAVED,DRAM_INTERLEAVED,8000,89740.3
BFLOAT8_B,DRAM_INTERLEAVED,DRAM_INTERLEAVED,10000,122721.4
BFLOAT8_B,DRAM_INTERLEAVED,DRAM_INTERLEAVED,12500,138228.5
