DEVICE KERNEL DURATION [ns],NUM_TILES,INPUT_0_DATATYPE,INPUT_0_MEMORY,OUTPUT_0_MEMORY
42001,128,BFLOAT16,L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED
21301,64,BFLOAT16,L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED
42008,128,BFLOAT16,L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED
21312,64,BFLOAT16,L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED
764,1,BFLOAT16,L1_WIDTH_SHARDED,L1_WIDTH_SHARDED
772,1,BFLOAT16,L1_WIDTH_SHARDED,L1_WIDTH_SHARDED
775,1,BFLOAT16,L1_WIDTH_SHARDED,L1_WIDTH_SHARDED
770,1,BFLOAT16,L1_WIDTH_SHARDED,L1_WIDTH_SHARDED
775,1,BFLOAT16,L1_WIDTH_SHARDED,L1_WIDTH_SHARDED
771,1,BFLOAT16,L1_WIDTH_SHARDED,L1_WIDTH_SHARDED
777,1,BFLOAT16,L1_WIDTH_SHARDED,L1_WIDTH_SHARDED
776,1,BFLOAT16,L1_WIDTH_SHARDED,L1_WIDTH_SHARDED
764,1,BFLOAT16,L1_WIDTH_SHARDED,L1_WIDTH_SHARDED
766,1,BFLOAT16,L1_WIDTH_SHARDED,L1_WIDTH_SHARDED
5624,16,BFLOAT16,L1_WIDTH_SHARDED,L1_WIDTH_SHARDED
1822,4,BFLOAT16,L1_WIDTH_SHARDED,L1_WIDTH_SHARDED
5632,16,BFLOAT16,L1_WIDTH_SHARDED,L1_WIDTH_SHARDED
1767,4,BFLOAT16,L1_WIDTH_SHARDED,L1_WIDTH_SHARDED
5623,16,BFLOAT16,L1_WIDTH_SHARDED,L1_WIDTH_SHARDED
1780,4,BFLOAT16,L1_WIDTH_SHARDED,L1_WIDTH_SHARDED
5618,16,BFLOAT16,L1_WIDTH_SHARDED,L1_WIDTH_SHARDED
1769,4,BFLOAT16,L1_WIDTH_SHARDED,L1_WIDTH_SHARDED
5618,16,BFLOAT16,L1_WIDTH_SHARDED,L1_WIDTH_SHARDED
1775,4,BFLOAT16,L1_WIDTH_SHARDED,L1_WIDTH_SHARDED
5627,16,BFLOAT16,L1_WIDTH_SHARDED,L1_WIDTH_SHARDED
1776,4,BFLOAT16,L1_WIDTH_SHARDED,L1_WIDTH_SHARDED
5623,16,BFLOAT16,L1_WIDTH_SHARDED,L1_WIDTH_SHARDED
1766,4,BFLOAT16,L1_WIDTH_SHARDED,L1_WIDTH_SHARDED
5619,16,BFLOAT16,L1_WIDTH_SHARDED,L1_WIDTH_SHARDED
1768,4,BFLOAT16,L1_WIDTH_SHARDED,L1_WIDTH_SHARDED
5625,16,BFLOAT16,L1_WIDTH_SHARDED,L1_WIDTH_SHARDED
1775,4,BFLOAT16,L1_WIDTH_SHARDED,L1_WIDTH_SHARDED
5632,16,BFLOAT16,L1_WIDTH_SHARDED,L1_WIDTH_SHARDED
1767,4,BFLOAT16,L1_WIDTH_SHARDED,L1_WIDTH_SHARDED
21146,64,BFLOAT16,L1_WIDTH_SHARDED,L1_WIDTH_SHARDED
5704,16,BFLOAT16,L1_WIDTH_SHARDED,L1_WIDTH_SHARDED
3135,8,BFLOAT16,L1_WIDTH_SHARDED,L1_WIDTH_SHARDED
21130,64,BFLOAT16,L1_WIDTH_SHARDED,L1_WIDTH_SHARDED
5654,16,BFLOAT16,L1_WIDTH_SHARDED,L1_WIDTH_SHARDED
3119,8,BFLOAT16,L1_WIDTH_SHARDED,L1_WIDTH_SHARDED
21146,64,BFLOAT16,L1_WIDTH_SHARDED,L1_WIDTH_SHARDED
5655,16,BFLOAT16,L1_WIDTH_SHARDED,L1_WIDTH_SHARDED
3118,8,BFLOAT16,L1_WIDTH_SHARDED,L1_WIDTH_SHARDED
21155,64,BFLOAT16,L1_WIDTH_SHARDED,L1_WIDTH_SHARDED
5643,16,BFLOAT16,L1_WIDTH_SHARDED,L1_WIDTH_SHARDED
3124,8,BFLOAT16,L1_WIDTH_SHARDED,L1_WIDTH_SHARDED
21145,64,BFLOAT16,L1_WIDTH_SHARDED,L1_WIDTH_SHARDED
5649,16,BFLOAT16,L1_WIDTH_SHARDED,L1_WIDTH_SHARDED
3123,8,BFLOAT16,L1_WIDTH_SHARDED,L1_WIDTH_SHARDED
21153,64,BFLOAT16,L1_WIDTH_SHARDED,L1_WIDTH_SHARDED
5645,16,BFLOAT16,L1_WIDTH_SHARDED,L1_WIDTH_SHARDED
3127,8,BFLOAT16,L1_WIDTH_SHARDED,L1_WIDTH_SHARDED
21148,64,BFLOAT16,L1_WIDTH_SHARDED,L1_WIDTH_SHARDED
5647,16,BFLOAT16,L1_WIDTH_SHARDED,L1_WIDTH_SHARDED
3124,8,BFLOAT16,L1_WIDTH_SHARDED,L1_WIDTH_SHARDED
21147,64,BFLOAT16,L1_WIDTH_SHARDED,L1_WIDTH_SHARDED
